,type,address,zip,price,date
4243,RESIDENTIAL,41 WEST 72ND STREET,10023,1699912,7/17/2017
4244,RESIDENTIAL,27 WEST 72ND STREET,10023,4500000,5/26/2017
4245,RESIDENTIAL,27 WEST 72ND   STREET,10023,1950000,7/13/2017
4246,RESIDENTIAL,27 WEST 72ND   STREET,10023,1100000,12/15/2017
4247,RESIDENTIAL,27 WEST 72ND   STREET,10023,1312500,4/24/2017
4248,RESIDENTIAL,27 WEST 72ND   STREET,10023,1201535,4/21/2017
4249,RESIDENTIAL,27 WEST 72ND   STREET,10023,1350000,8/16/2017
4250,RESIDENTIAL,54 WEST 74TH STREET,10023,0,2/22/2017
4251,RESIDENTIAL,54 WEST 74TH   STREET,10023,0,2/22/2017
4252,RESIDENTIAL,54 WEST 74TH   STREET,10023,0,5/11/2017
4253,RESIDENTIAL,2 COLUMBUS AVENUE,10019,1898888,9/27/2017
4254,RESIDENTIAL,2 COLUMBUS AVENUE,10019,1500000,2/17/2017
4255,RESIDENTIAL,2 COLUMBUS AVENUE,10019,2300000,6/28/2017
4256,RESIDENTIAL,2 COLUMBUS AVENUE,10019,1175000,5/31/2017
4257,RESIDENTIAL,2 COLUMBUS AVENUE,10019,2650000,2/21/2017
4258,RESIDENTIAL,2 COLUMBUS AVENUE,10019,0,2/22/2017
4259,RESIDENTIAL,2 COLUMBUS AVENUE,10019,0,9/15/2017
4260,RESIDENTIAL,161 WEST 61ST   STREET,10023,1175000,6/15/2017
4261,RESIDENTIAL,161 WEST 61ST STREET,10023,590000,2/14/2017
4262,RESIDENTIAL,161 WEST 61ST   STREET,10023,999000,9/25/2017
4263,RESIDENTIAL,161 WEST 61ST   STREET,10023,1125000,2/28/2017
4264,RESIDENTIAL,161 WEST 61ST   STREET,10023,1220000,1/13/2017
4265,RESIDENTIAL,161 WEST 61ST STREET,10023,1679000,10/19/2017
4266,RESIDENTIAL,161 WEST 61ST ST,10023,1360000,2/10/2017
4267,RESIDENTIAL,161 WEST 61ST STREET,10023,1800000,1/27/2017
4268,RESIDENTIAL,161 WEST 61ST   STREET,10023,740000,10/20/2017
4269,RESIDENTIAL,161 WEST 61ST   STREET,10023,3150000,7/18/2017
4270,RESIDENTIAL,161 WEST 61ST STREET,10023,2250000,4/21/2017
4271,RESIDENTIAL,161 WEST 61ST STREET,10023,3759375,1/20/2017
4272,RESIDENTIAL,161 WEST 61ST   STREET,10023,950000,4/21/2017
4273,RESIDENTIAL,161 WEST 61ST   STREET,10023,3995000,7/25/2017
4274,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,10/25/2017
4275,RESIDENTIAL,160 WEST 66TH   STREET,10023,0,8/1/2017
4276,RESIDENTIAL,160 WEST 66TH   STREET,10023,925000,8/30/2017
4277,RESIDENTIAL,160 WEST 66TH   STREET,10023,1875000,9/14/2017
